0x4D, 0x5A, 0x90, 0x00, 0x03, 0x00, 0x00, 0x00, 0x04, 0x00, 0x00, 0x00, 0xFF, 0xFF, 0x00, 0x00, 
0xB8, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x40, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x80, 0x00, 0x00, 0x00, 
0x0E, 0x1F, 0xBA, 0x0E, 0x00, 0xB4, 0x09, 0xCD, 0x21, 0xB8, 0x01, 0x4C, 0xCD, 0x21, 0x54, 0x68, 
0x69, 0x73, 0x20, 0x70, 0x72, 0x6F, 0x67, 0x72, 0x61, 0x6D, 0x20, 0x63, 0x61, 0x6E, 0x6E, 0x6F, 
0x74, 0x20, 0x62, 0x65, 0x20, 0x72, 0x75, 0x6E, 0x20, 0x69, 0x6E, 0x20, 0x44, 0x4F, 0x53, 0x20, 
0x6D, 0x6F, 0x64, 0x65, 0x2E, 0x0D, 0x0D, 0x0A, 0x24, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x50, 0x45, 0x00, 0x00, 0x4C, 0x01, 0x03, 0x00, 0x26, 0x89, 0x65, 0x62, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0xE0, 0x00, 0x02, 0x00, 0x0B, 0x01, 0x08, 0x00, 0x00, 0xEA, 0x00, 0x00, 
0x00, 0x10, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x9E, 0x09, 0x01, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x00, 0x20, 0x01, 0x00, 0x00, 0x00, 0x40, 0x00, 0x00, 0x20, 0x00, 0x00, 0x00, 0x02, 0x00, 0x00, 
0x04, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x04, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x60, 0x01, 0x00, 0x00, 0x02, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x02, 0x00, 0x40, 0x85, 
0x00, 0x00, 0x10, 0x00, 0x00, 0x10, 0x00, 0x00, 0x00, 0x00, 0x10, 0x00, 0x00, 0x10, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x10, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x44, 0x09, 0x01, 0x00, 0x57, 0x00, 0x00, 0x00, 0x00, 0x20, 0x01, 0x00, 0xB5, 0x0D, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x40, 0x01, 0x00, 0x0C, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x08, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x08, 0x20, 0x00, 0x00, 0x48, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x2E, 0x74, 0x65, 0x78, 0x74, 0x00, 0x00, 0x00, 
0xA4, 0xE9, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x00, 0xEA, 0x00, 0x00, 0x00, 0x02, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x60, 
0x2E, 0x72, 0x73, 0x72, 0x63, 0x00, 0x00, 0x00, 0xB5, 0x0D, 0x00, 0x00, 0x00, 0x20, 0x01, 0x00, 
0x00, 0x0E, 0x00, 0x00, 0x00, 0xEC, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x40, 0x00, 0x00, 0x40, 0x2E, 0x72, 0x65, 0x6C, 0x6F, 0x63, 0x00, 0x00, 
0x0C, 0x00, 0x00, 0x00, 0x00, 0x40, 0x01, 0x00, 0x00, 0x02, 0x00, 0x00, 0x00, 0xFA, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x40, 0x00, 0x00, 0x42, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x80, 0x09, 0x01, 0x00, 0x00, 0x00, 0x00, 0x00, 0x48, 0x00, 0x00, 0x00, 0x02, 0x00, 0x05, 0x00, 
0xBC, 0x66, 0x00, 0x00, 0x88, 0xA2, 0x00, 0x00, 0x01, 0x00, 0x00, 0x00, 0x01, 0x00, 0x00, 0x06, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0xB8, 0x57, 0x00, 0x07, 0x80, 0xC2, 0x18, 0x00, 0x48, 0x33, 0xC0, 0xC3, 0x00, 0x00, 0x00, 0x00, 
0xB8, 0x57, 0x00, 0x07, 0x80, 0xC3, 0x00, 0x00, 0x33, 0xC0, 0xC2, 0x14, 0x00, 0x00, 0x00, 0x00, 
0x2E, 0x00, 0x2F, 0x00, 0x5C, 0x00, 0x00, 0x00, 0x1E, 0x02, 0x28, 0x1B, 0x00, 0x00, 0x0A, 0x2A, 
0x1A, 0x7E, 0x14, 0x00, 0x00, 0x04, 0x2A, 0x1E, 0x02, 0x80, 0x14, 0x00, 0x00, 0x04, 0x2A, 0x1A, 
0x7E, 0x15, 0x00, 0x00, 0x04, 0x2A, 0x1E, 0x02, 0x80, 0x15, 0x00, 0x00, 0x04, 0x2A, 0x1A, 0x7E, 
0x16, 0x00, 0x00, 0x04, 0x2A, 0x1E, 0x02, 0x80, 0x16, 0x00, 0x00, 0x04, 0x2A, 0x1A, 0x7E, 0x17, 
0x00, 0x00, 0x04, 0x2A, 0x1E, 0x02, 0x80, 0x17, 0x00, 0x00, 0x04, 0x2A, 0x1A, 0x7E, 0x18, 0x00, 
0x00, 0x04, 0x2A, 0x1E, 0x02, 0x80, 0x18, 0x00, 0x00, 0x04, 0x2A, 0x1A, 0x7E, 0x19, 0x00, 0x00, 
0x04, 0x2A, 0x1E, 0x02, 0x80, 0x19, 0x00, 0x00, 0x04, 0x2A, 0x1A, 0x7E, 0x1A, 0x00, 0x00, 0x04, 
0x2A, 0x1E, 0x02, 0x80, 0x1A, 0x00, 0x00, 0x04, 0x2A, 0x1A, 0x7E, 0x1B, 0x00, 0x00, 0x04, 0x2A, 
0x1A, 0x7E, 0x1C, 0x00, 0x00, 0x04, 0x2A, 0x1E, 0x02, 0x80, 0x1C, 0x00, 0x00, 0x04, 0x2A, 0x1A, 
0x7E, 0x1D, 0x00, 0x00, 0x04, 0x2A, 0x1E, 0x02, 0x80, 0x1D, 0x00, 0x00, 0x04, 0x2A, 0x1A, 0x7E, 
0x1E, 0x00, 0x00, 0x04, 0x2A, 0x1E, 0x02, 0x80, 0x1E, 0x00, 0x00, 0x04, 0x2A, 0x2A, 0x02, 0x28, 
0x43, 0x00, 0x00, 0x0A, 0x16, 0xFE, 0x03, 0x2A, 0x32, 0x7E, 0x0B, 0x00, 0x00, 0x04, 0x03, 0x6F, 
0x44, 0x00, 0x00, 0x0A, 0x2A, 0xFA, 0x73, 0xC2, 0x00, 0x00, 0x06, 0x25, 0x72, 0x6D, 0x12, 0x00, 
0x70, 0x6F, 0xAD, 0x00, 0x00, 0x06, 0x28, 0x68, 0x00, 0x00, 0x0A, 0x72, 0x35, 0x13, 0x00, 0x70, 
